,name,metacritic_review_count,metacritic_review_score,user_review_count,user_review_score,developer,publisher,platforms,genres,esrb,must_play
17,GoldenEye 007,Based on 21 Critic Reviews,96,Based on 965 User Ratings,8.9,Developer:           Rare Ltd.,Publisher: Nintendo,"['Nintendo 64', 'Xbox 360', 'Xbox One', 'Xbox Series X']",['FPS'],Rated T                           for Teen,1
18,Uncharted 2: Among Thieves,Based on 105 Critic Reviews,96,"Based on 7,216 User Ratings",8.8,Developer:           Naughty Dog,Publisher: SCEA,['PlayStation 3'],['Linear Action Adventure'],Rated T                           for Teen,1
19,Resident Evil 4 (2005),Based on 82 Critic Reviews,96,"Based on 2,460 User Ratings",9.1,Developer:           Capcom,Publisher: Capcom,"['GameCube', 'PlayStation 2', 'PC', 'Wii']",['Survival'],Rated M                           for Mature,1
20,Baldur's Gate 3,Based on 119 Critic Reviews,96,"Based on 17,600 User Ratings",9.2,Developer:           Larian Studios Games,Publisher: Larian Studios Games,"['PC', 'PlayStation 5', 'Xbox Series X']",['Western RPG'],Rated M                           for Mature,1
21,The Orange Box,Based on 54 Critic Reviews,96,Based on 758 User Ratings,8.8,Developer:           Valve Software,Publisher: EA Games,"['PC', 'Xbox 360', 'PlayStation 3']",['Compilation'],Rated M                           for Mature,1
22,Tekken 3,Based on 15 Critic Reviews,96,"Based on 1,079 User Ratings",8.9,Developer:           Namco,Publisher: Namco,"['PlayStation', 'Dreamcast']",['3D Fighting'],Rated T                           for Teen,1
23,Mass Effect 2,Based on 98 Critic Reviews,96,"Based on 3,023 User Ratings",8.9,Developer:           BioWare,Publisher: Electronic Arts,"['PC', 'Xbox 360', 'PlayStation 3']",['Western RPG'],Rated M                           for Mature,1
24,The House in Fata Morgana - Dreams of the Revenants Edition -,Based on 10 Critic Reviews,96,Based on 519 User Ratings,6.9,Developer:           HuneX,Publisher: Limited Run Games,['Nintendo Switch'],['Visual Novel'],Rated M                           for Mature,0
25,Elden Ring,Based on 93 Critic Reviews,96,"Based on 18,096 User Ratings",8.2,Developer:           From Software,Publisher: Bandai Namco Games,"['PC', 'Xbox One', 'PlayStation 4', 'Xbox Series X', 'PlayStation 5']",['Action RPG'],Rated M                           for Mature,1
26,The Elder Scrolls V: Skyrim,Based on 89 Critic Reviews,96,"Based on 6,134 User Ratings",8.6,Developer:           Bethesda Game Studios,Publisher: Bethesda Softworks,"['Xbox 360', 'PC', 'PlayStation 3']",['Western RPG'],Rated M                           for Mature,1
27,Half-Life,Based on 24 Critic Reviews,96,"Based on 5,100 User Ratings",9.0,Developer:           Valve Software,Publisher: Sierra Entertainment,"['Dreamcast', 'PC', 'PlayStation 2']",['FPS'],Rated M                           for Mature,1
28,The Legend of Zelda: Tears of the Kingdom,Based on 156 Critic Reviews,96,"Based on 12,689 User Ratings",8.8,Developer:           Nintendo,Publisher: Nintendo,['Nintendo Switch'],['Open-World Action'],Rated E +10                           for Everyone +10,1
29,The Legend of Zelda: The Wind Waker,Based on 80 Critic Reviews,96,"Based on 1,739 User Ratings",9.0,Developer:           Nintendo,Publisher: Nintendo,['GameCube'],['Open-World Action'],Rated E                           for Everyone,1
30,Gran Turismo,Based on 16 Critic Reviews,96,Based on 567 User Ratings,8.5,Developer:           Polyphony Digital,Publisher: SCEA,['PlayStation'],['Auto Racing Sim'],Rated E                           for Everyone,1
31,Metal Gear Solid 2: Sons of Liberty,Based on 42 Critic Reviews,96,"Based on 2,028 User Ratings",8.9,Developer:           KCEJ,Publisher: Konami,['PlayStation 2'],['Action Adventure'],Rated M                           for Mature,1
32,Grand Theft Auto Double Pack,Based on 33 Critic Reviews,96,Based on 104 User Ratings,7.8,Developer:           Rockstar Vienna,Publisher: Rockstar Games,"['Xbox', 'PlayStation 2']",['Compilation'],Rated M                           for Mature,1
33,Portal: Companion Collection,Based on 10 Critic Reviews,95,Based on 106 User Ratings,8.5,Developer:           Valve Software,Publisher: Valve Software,['Nintendo Switch'],['Compilation'],,0
34,Baldur's Gate II: Shadows of Amn,Based on 30 Critic Reviews,95,"Based on 1,626 User Ratings",9.1,Developer:           BioWare,Publisher: Interplay,['PC'],['Western RPG'],Rated T                           for Teen,1
35,Grand Theft Auto: San Andreas,Based on 80 Critic Reviews,95,"Based on 4,488 User Ratings",9.2,Developer:           Rockstar North,Publisher: Rockstar Games,"['PlayStation 2', 'PC', 'Xbox', 'iOS (iPhone/iPad)', 'Xbox 360', 'PlayStation 3', 'PlayStation 4']",['Open-World Action'],Rated M                           for Mature,1
36,Grand Theft Auto: Vice City,Based on 62 Critic Reviews,95,"Based on 2,278 User Ratings",8.7,Developer:           Rockstar North,Publisher: Rockstar Games,"['PlayStation 2', 'PC', 'Xbox', 'PlayStation 4']",['Open-World Action'],Rated M                           for Mature,1
37,LittleBigPlanet,Based on 85 Critic Reviews,95,"Based on 1,561 User Ratings",8.2,Developer:           Media Molecule                  SCE/WWS,Publisher: SCEA,"['PlayStation 3', 'PSP']",['2D Platformer'],Rated E                           for Everyone,1
38,The Legend of Zelda Collector's Edition,Based on 8 Critic Reviews,95,Based on 239 User Ratings,8.9,Developer:           Nintendo,Publisher: Nintendo,['GameCube'],['Compilation'],Rated E                           for Everyone,0
39,Gran Turismo 3: A-Spec,Based on 54 Critic Reviews,95,Based on 430 User Ratings,8.4,Developer:           Polyphony Digital,Publisher: SCEA,['PlayStation 2'],['Auto Racing Sim'],Rated E                           for Everyone,1
40,Halo 2,Based on 91 Critic Reviews,95,"Based on 1,896 User Ratings",8.7,Developer:           Bungie,Publisher: Microsoft Game Studios,"['PC', 'Xbox']",['FPS'],Rated M                           for Mature,1
41,The Legend of Zelda: Majora's Mask,Based on 27 Critic Reviews,95,"Based on 1,952 User Ratings",9.1,Developer:           Nintendo,Publisher: Nintendo,['Nintendo 64'],['Open-World Action'],Rated E                           for Everyone,1
42,The Legend of Zelda: A Link to the Past / Four Swords,Based on 30 Critic Reviews,95,Based on 826 User Ratings,8.9,Developer:           Nintendo,Publisher: Nintendo,['Game Boy Advance'],['Open-World Action'],Rated E                           for Everyone,1
43,The Last of Us,Based on 98 Critic Reviews,95,"Based on 15,675 User Ratings",9.2,Developer:           Naughty Dog,Publisher: SCEA,['PlayStation 3'],['Linear Action Adventure'],Rated M                           for Mature,1
44,The Legend of Zelda: Twilight Princess,Based on 73 Critic Reviews,95,"Based on 2,041 User Ratings",8.8,Developer:           Nintendo,Publisher: Nintendo,"['Wii', 'GameCube']",['Open-World Action'],Rated T                           for Teen,1
45,Madden NFL 2003,Based on 25 Critic Reviews,95,Based on 56 User Ratings,7.0,Developer:           EA Sports,Publisher: EA Sports,"['PlayStation', 'PlayStation 2', 'Xbox', 'GameCube', 'Game Boy Advance', 'PC']",['Football Sim'],Rated E                           for Everyone,1
46,Persona 5 Royal,Based on 74 Critic Reviews,95,"Based on 5,164 User Ratings",8.7,Developer:           Atlus,Publisher: Atlus,"['PlayStation 4', 'Xbox Series X', 'PC', 'Xbox One', 'PlayStation 5', 'Nintendo Switch']",['JRPG'],Rated M                           for Mature,1
47,The Last of Us Remastered,Based on 70 Critic Reviews,95,"Based on 20,611 User Ratings",9.2,Developer:           Naughty Dog,Publisher: SCEA,['PlayStation 4'],['Linear Action Adventure'],Rated M                           for Mature,1
48,Red Dead Redemption,Based on 96 Critic Reviews,95,"Based on 3,713 User Ratings",8.9,Developer:           Rockstar San Diego,Publisher: Rockstar Games,"['Xbox 360', 'PlayStation 3']",['Open-World Action'],Rated M                           for Mature,1
49,Portal 2,Based on 66 Critic Reviews,95,"Based on 2,533 User Ratings",8.8,Developer:           Valve Software,Publisher: Valve Software,"['PC', 'Xbox 360', 'PlayStation 3']",['FPS'],Rated E +10                           for Everyone +10,1
50,Final Fantasy IX,Based on 22 Critic Reviews,94,"Based on 1,677 User Ratings",8.9,Developer:           SquareSoft,Publisher: Square EA,"['PlayStation', 'iOS (iPhone/iPad)', 'PC', 'PlayStation 4', 'Nintendo Switch', 'Xbox One']",['JRPG'],Rated T                           for Teen,1
51,God of War,Based on 131 Critic Reviews,94,"Based on 26,915 User Ratings",9.1,Developer:           SCE Santa Monica,Publisher: Sony Interactive Entertainment,"['PlayStation 4', 'PC']",['Linear Action Adventure'],Rated M                           for Mature,1
52,Elden Ring: Shadow of the Erdtree,Based on 70 Critic Reviews,94,"Based on 3,024 User Ratings",8.1,Developer:           From Software,Publisher: Bandai Namco Games,"['PC', 'Xbox Series X', 'PlayStation 5', 'PlayStation 4', 'Xbox One']",['Action RPG'],Rated M                           for Mature,1
53,Tony Hawk's Pro Skater 4,Based on 27 Critic Reviews,94,Based on 226 User Ratings,8.2,Developer:           Neversoft Entertainment,Publisher: Activision,"['PlayStation 2', 'GameCube', 'Xbox', 'PlayStation', 'Game Boy Advance', 'PC']",['Skating'],Rated T                           for Teen,1
54,Astro Bot,Based on 140 Critic Reviews,94,"Based on 4,082 User Ratings",9.2,Developer:           Team Asobi,Publisher: Sony Interactive Entertainment,['PlayStation 5'],['3D Platformer'],Rated E +10                           for Everyone +10,1
55,Devil May Cry,Based on 37 Critic Reviews,94,"Based on 1,101 User Ratings",8.3,Developer:           Capcom,Publisher: Capcom,"['PlayStation 2', 'Nintendo Switch']",['Linear Action Adventure'],Rated M                           for Mature,1
56,Madden NFL 2002,Based on 23 Critic Reviews,94,Based on 35 User Ratings,5.0,Developer:           EA Sports,Publisher: EA Sports,"['PlayStation 2', 'PC', 'Xbox', 'Nintendo 64', 'PlayStation', 'GameCube', 'Game Boy Advance']",['Football Sim'],Rated E                           for Everyone,1
57,Batman: Arkham City,Based on 87 Critic Reviews,94,"Based on 3,093 User Ratings",8.8,Developer:           Rocksteady Studios,Publisher: Warner Bros. Interactive Entertainment,"['PC', 'Xbox 360', 'PlayStation 3', 'Nintendo Switch']",['Open-World Action'],Rated T                           for Teen,1
58,Metroid Prime Remastered,Based on 100 Critic Reviews,94,"Based on 1,403 User Ratings",8.8,Developer:           Retro Studios                  Iron Galaxy Studios,Publisher: Nintendo,['Nintendo Switch'],['FPS'],Rated T                           for Teen,1
59,The Legend of Zelda: Ocarina of Time 3D,Based on 85 Critic Reviews,94,"Based on 2,176 User Ratings",9.0,Developer:           GREZZO,Publisher: Nintendo,['3DS'],['Open-World Action'],Rated E +10                           for Everyone +10,1
60,Chrono Cross,Based on 16 Critic Reviews,94,Based on 513 User Ratings,8.8,Developer:           SquareSoft,Publisher: Square EA,['PlayStation'],['JRPG'],Rated T                           for Teen,1
61,Madden NFL 2004,Based on 29 Critic Reviews,94,Based on 49 User Ratings,6.5,Developer:           EA Tiburon,Publisher: EA Sports,"['PlayStation', 'GameCube', 'PlayStation 2', 'Game Boy Advance', 'Xbox', 'PC']",['Football Sim'],Rated E                           for Everyone,1
62,Gears of War,Based on 88 Critic Reviews,94,"Based on 1,947 User Ratings",8.2,Developer:           Epic Games,Publisher: Microsoft Game Studios,"['Xbox 360', 'PC']",['Third Person Shooter'],Rated M                           for Mature,1
63,Metaphor: ReFantazio,Based on 56 Critic Reviews,94,"Based on 1,748 User Ratings",8.7,Developer:           Studio Zero,Publisher: Sega,"['Xbox Series X', 'PC', 'PlayStation 5', 'PlayStation 4']",['JRPG'],Rated T                           for Teen,1
64,The Elder Scrolls IV: Oblivion,Based on 90 Critic Reviews,94,"Based on 1,369 User Ratings",8.5,Developer:           Bethesda Game Studios,Publisher: 2K Games,"['Xbox 360', 'PC', 'PlayStation 3', 'PSP']",['Western RPG'],Rated M                           for Mature,1
65,Sid Meier's Civilization II,Based on 7 Critic Reviews,94,Based on 503 User Ratings,8.6,Developer:           MPS Labs,Publisher: MicroProse,"['PlayStation', 'PC']",['4X Strategy'],,0
66,Quake,Based on 9 Critic Reviews,94,"Based on 1,081 User Ratings",8.7,Developer:           id Software,Publisher: id Software,"['PC', 'Nintendo 64']",['FPS'],Rated M                           for Mature,0
67,Call of Duty 4: Modern Warfare,Based on 70 Critic Reviews,94,"Based on 1,999 User Ratings",8.5,Developer:           Infinity Ward,Publisher: Activision,"['Xbox 360', 'PlayStation 3', 'DS', 'PC', 'Wii']",['FPS'],Rated M                           for Mature,1
68,BioShock Infinite,Based on 68 Critic Reviews,94,"Based on 10,741 User Ratings",8.6,Developer:           Irrational Games,Publisher: 2K Games,"['Xbox 360', 'PlayStation 3', 'PC']",['FPS'],Rated M                           for Mature,1
69,Halo 3,Based on 86 Critic Reviews,94,"Based on 3,103 User Ratings",8.7,Developer:           Bungie,Publisher: Microsoft Game Studios,"['Xbox 360', 'PC']",['FPS'],Rated M                           for Mature,1
70,Ninja Gaiden Black,Based on 32 Critic Reviews,94,Based on 228 User Ratings,8.7,Developer:           Team Ninja,Publisher: Tecmo,['Xbox'],['Action Adventure'],Rated M                           for Mature,1
71,Metal Gear Solid,Based on 20 Critic Reviews,94,"Based on 2,319 User Ratings",8.8,Developer:           KCEJ,Publisher: Konami,"['PlayStation', 'Nintendo Switch', 'PlayStation 4', 'PlayStation 5', 'Xbox Series X', 'Dreamcast']",['Action Adventure'],Rated M                           for Mature,1
72,Super Mario Advance 4: Super Mario Bros. 3,Based on 25 Critic Reviews,94,Based on 457 User Ratings,8.8,Developer:           Nintendo,Publisher: Nintendo,['Game Boy Advance'],['2D Platformer'],Rated E                           for Everyone,1
73,Tom Clancy's Splinter Cell: Chaos Theory,Based on 70 Critic Reviews,94,Based on 301 User Ratings,8.6,Developer:           Ubisoft Montreal,Publisher: Ubisoft,"['3DS', 'PC', 'Xbox', 'GameCube', 'PlayStation 2', 'DS', 'Xbox 360', 'PlayStation 3']",['Action Adventure'],Rated M                           for Mature,1
74,God of War: Ragnarok,Based on 150 Critic Reviews,94,"Based on 12,803 User Ratings",8.2,Developer:           SCE Santa Monica,Publisher: PlayStation Studios,"['PlayStation 5', 'PlayStation 4', 'PC']",['Action Adventure'],Rated M                           for Mature,1
75,Resident Evil Code: Veronica,Based on 18 Critic Reviews,94,Based on 225 User Ratings,8.5,Developer:           NexTech,Publisher: Capcom,['Dreamcast'],['Survival'],Rated M                           for Mature,1
76,Burnout 3: Takedown,Based on 76 Critic Reviews,94,Based on 242 User Ratings,8.8,Developer:           Criterion Games,Publisher: EA Games,"['PlayStation 2', 'Xbox']",['Auto Racing'],Rated T                           for Teen,1
77,Diablo,Based on 12 Critic Reviews,94,"Based on 1,549 User Ratings",8.6,Developer:           Blizzard Entertainment,Publisher: Blizzard Entertainment,"['PlayStation', 'PC']",['Action RPG'],Rated M                           for Mature,0
78,Metal Gear Solid 3: Subsistence,Based on 53 Critic Reviews,94,Based on 870 User Ratings,8.5,Developer:           Kojima Productions                  Aspect,Publisher: Konami,['PlayStation 2'],['Action Adventure'],Rated M                           for Mature,1
79,Call of Duty: Modern Warfare 2,Based on 100 Critic Reviews,94,"Based on 2,414 User Ratings",7.8,Developer:           Infinity Ward,Publisher: Activision,"['PC', 'PlayStation 3', 'Xbox 360']",['FPS'],Rated M                           for Mature,1
80,Metal Gear Solid 4: Guns of the Patriots,Based on 82 Critic Reviews,94,"Based on 2,701 User Ratings",8.7,Developer:           Kojima Productions,Publisher: Konami,['PlayStation 3'],['Action Adventure'],Rated M                           for Mature,1
81,God of War (2005),Based on 75 Critic Reviews,94,"Based on 2,840 User Ratings",8.8,Developer:           SCE Santa Monica,Publisher: SCEA,"['PlayStation 2', 'PlayStation 3']",['Linear Action Adventure'],Rated M                           for Mature,1
82,Star Wars: Knights of the Old Republic,Based on 72 Critic Reviews,94,Based on 667 User Ratings,9.0,Developer:           BioWare,Publisher: LucasArts,"['PC', 'Xbox', 'iOS (iPhone/iPad)', 'Nintendo Switch']",['Western RPG'],Rated T                           for Teen,1
83,Sid Meier's Civilization IV,Based on 50 Critic Reviews,94,"Based on 1,005 User Ratings",8.4,Developer:           Firaxis Games,Publisher: 2K Games,['PC'],['4X Strategy'],Rated E +10                           for Everyone +10,1
84,Virtua Fighter 4,Based on 36 Critic Reviews,94,Based on 69 User Ratings,7.9,Developer:           Sega AM2,Publisher: Sega,['PlayStation 2'],['3D Fighting'],Rated T                           for Teen,1
85,Super Smash Bros. Brawl,Based on 81 Critic Reviews,93,"Based on 1,660 User Ratings",8.8,Developer:           Game Arts,Publisher: Nintendo,['Wii'],['2D Fighting'],Rated T                           for Teen,1
86,Company of Heroes,Based on 55 Critic Reviews,93,"Based on 1,210 User Ratings",8.5,Developer:           Relic Entertainment,Publisher: THQ,"['PC', 'iOS (iPhone/iPad)']",['Real-Time Strategy'],Rated M                           for Mature,1
87,Gran Turismo 2,Based on 23 Critic Reviews,93,Based on 441 User Ratings,8.9,Developer:           Polyphony Digital,Publisher: SCEA,"['PlayStation', 'Dreamcast']",['Auto Racing Sim'],Rated E                           for Everyone,1
88,The Last of Us Part II,Based on 132 Critic Reviews,93,"Based on 163,892 User Ratings",5.8,Developer:           Naughty Dog,Publisher: Sony Interactive Entertainment,['PlayStation 4'],['Survival'],Rated M                           for Mature,1
89,Tom Clancy's Splinter Cell: Pandora Tomorrow,Based on 74 Critic Reviews,93,Based on 128 User Ratings,8.2,Developer:           Ubisoft Shanghai,Publisher: Ubisoft,"['Xbox', 'PlayStation 2', 'PlayStation 3', 'PC', 'GameCube', 'Game Boy Advance', 'Xbox 360']",['Action Adventure'],Rated T                           for Teen,1
90,Grand Theft Auto: Chinatown Wars,Based on 85 Critic Reviews,93,Based on 341 User Ratings,7.6,Developer:           Rockstar Leeds,Publisher: Rockstar Games,"['DS', 'PSP', 'iOS (iPhone/iPad)']",['Open-World Action'],Rated M                           for Mature,1
91,Pac-Man Championship Edition DX,Based on 43 Critic Reviews,93,Based on 171 User Ratings,7.6,Developer:           Namco Bandai Games,Publisher: Namco Bandai Games,"['Xbox 360', 'PlayStation 3', 'iOS (iPhone/iPad)']",['Arcade'],Rated E                           for Everyone,1
92,Dwarf Fortress,Based on 12 Critic Reviews,93,Based on 287 User Ratings,8.5,Developer:           Bay 12 Games,Publisher: Bay 12 Games,['PC'],['Management'],,0
93,Half-Life: Alyx,Based on 78 Critic Reviews,93,"Based on 2,807 User Ratings",9.1,Developer:           Valve Software,Publisher: Valve Software,['PC'],['FPS'],,1
94,Divinity: Original Sin II,Based on 75 Critic Reviews,93,"Based on 2,875 User Ratings",8.8,Developer:           Larian Studios Games,Publisher: Larian Studios Games,['PC'],['Western RPG'],,1
95,Unreal Tournament 2004,Based on 48 Critic Reviews,93,Based on 748 User Ratings,8.7,Developer:           Epic Games,Publisher: Atari SA,['PC'],['FPS'],Rated M                           for Mature,1
96,Braid,Based on 57 Critic Reviews,93,Based on 340 User Ratings,8.2,Developer:           Number None Inc.,Publisher: Number None Inc.,"['Xbox 360', 'PlayStation 3', 'PC']",['2D Platformer'],Rated E +10                           for Everyone +10,1
97,God of War II,Based on 70 Critic Reviews,93,"Based on 2,267 User Ratings",9.1,Developer:           SCE Santa Monica,Publisher: SCEA,"['PlayStation 2', 'PlayStation 3']",['Linear Action Adventure'],Rated M                           for Mature,1
98,Super Mario 3D World,Based on 83 Critic Reviews,93,"Based on 2,375 User Ratings",8.8,Developer:           Nintendo,Publisher: Nintendo,['Wii U'],['3D Platformer'],Rated E                           for Everyone,1
99,Starcraft II: Wings of Liberty,Based on 82 Critic Reviews,93,"Based on 2,939 User Ratings",8.3,Developer:           Blizzard Entertainment,Publisher: Blizzard Entertainment,['PC'],['Command RTS'],Rated T                           for Teen,1
100,SSX (2000),Based on 35 Critic Reviews,93,Based on 76 User Ratings,8.0,Developer:           EA Sports Big,Publisher: EA Sports Big,['PlayStation 2'],['Skiing'],Rated E                           for Everyone,1
101,Street Fighter IV,Based on 77 Critic Reviews,93,Based on 277 User Ratings,7.4,Developer:           Capcom,Publisher: Capcom,"['PlayStation 3', 'Xbox 360', 'PC', 'iOS (iPhone/iPad)']",['2D Fighting'],Rated T                           for Teen,1
102,Minecraft,Based on 33 Critic Reviews,93,"Based on 8,668 User Ratings",8.2,Developer:           Mojang AB,Publisher: Mojang AB,"['PC', 'Nintendo Switch', 'PlayStation 5', '3DS', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'Wii U', 'Xbox 360', 'Xbox One']",['Sandbox'],Rated E +10                           for Everyone +10,1
103,Persona 4 Golden,Based on 61 Critic Reviews,93,"Based on 2,199 User Ratings",9.1,Developer:           Atlus,Publisher: Atlus,"['PlayStation Vita', 'PC', 'Xbox Series X', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']",['JRPG'],Rated M                           for Mature,1
104,Persona 5,Based on 106 Critic Reviews,93,"Based on 5,655 User Ratings",8.9,Developer:           Atlus,Publisher: Atlus,"['PlayStation 3', 'PlayStation 4']",['JRPG'],Rated M                           for Mature,1
105,Homeworld,Based on 20 Critic Reviews,93,Based on 398 User Ratings,8.7,Developer:           Relic Entertainment,Publisher: Sierra Entertainment,['PC'],['Command RTS'],Rated E                           for Everyone,1
106,Tom Clancy's Splinter Cell,Based on 46 Critic Reviews,93,Based on 196 User Ratings,8.5,Developer:           Ubisoft Montreal,Publisher: Ubisoft,"['PC', 'Xbox', 'PlayStation 2', 'GameCube', 'Game Boy Advance', 'PlayStation 3']",['Action Adventure'],Rated T                           for Teen,1
107,Quake III Arena,Based on 25 Critic Reviews,93,Based on 182 User Ratings,8.5,Developer:           Raster,Publisher: Sega,"['PC', 'Dreamcast']",['FPS'],Rated M                           for Mature,1
108,SSX 3,Based on 41 Critic Reviews,93,Based on 176 User Ratings,8.6,Developer:           EA Canada,Publisher: EA Sports Big,"['Game Boy Advance', 'GameCube', 'Xbox', 'PlayStation 2']",['Skiing'],Rated E                           for Everyone,1
109,Okami,Based on 69 Critic Reviews,93,Based on 491 User Ratings,9.0,Developer:           Clover Studio,Publisher: Capcom,"['PlayStation 2', 'Wii']",['Action Adventure'],Rated T                           for Teen,1
110,Fallout 3,Based on 84 Critic Reviews,93,"Based on 2,172 User Ratings",8.3,Developer:           Bethesda Game Studios,Publisher: Bethesda Softworks,"['PC', 'Xbox 360', 'PlayStation 3']",['Western RPG'],Rated M                           for Mature,1
111,Gears of War 2,Based on 90 Critic Reviews,93,"Based on 1,656 User Ratings",8.4,Developer:           Epic Games,Publisher: Microsoft Game Studios,['Xbox 360'],['Third Person Shooter'],Rated M                           for Mature,1
112,Pro Evolution Soccer 2,Based on 24 Critic Reviews,93,Based on 69 User Ratings,7.5,Developer:           KCET,Publisher: Konami,"['PlayStation', 'PlayStation 2']",['Soccer Sim'],Rated E                           for Everyone,1
113,SoulCalibur II,Based on 45 Critic Reviews,93,Based on 220 User Ratings,8.5,Developer:           Namco,Publisher: Namco,"['PlayStation 2', 'GameCube', 'Xbox']",['3D Fighting'],Rated T                           for Teen,1
114,Mass Effect 3,Based on 74 Critic Reviews,93,"Based on 4,308 User Ratings",6.2,Developer:           BioWare,Publisher: Electronic Arts,"['PC', 'Xbox 360', 'PlayStation 3', 'Wii U']",['Action RPG'],Rated M                           for Mature,1
115,Metal Gear Solid V: The Phantom Pain,Based on 88 Critic Reviews,93,"Based on 6,528 User Ratings",8.1,Developer:           Kojima Productions                  Moby Dick Studio,Publisher: Konami,"['Xbox 360', 'PlayStation 3', 'Xbox One', 'PlayStation 4', 'PC']",['Open-World Action'],Rated M                           for Mature,1
116,The Legend of Zelda: Skyward Sword,Based on 81 Critic Reviews,93,"Based on 2,892 User Ratings",8.1,Developer:           Nintendo,Publisher: Nintendo,['Wii'],['Open-World Action'],Rated E +10                           for Everyone +10,1
117,Mario Kart: Super Circuit,Based on 24 Critic Reviews,93,Based on 339 User Ratings,7.7,Developer:           Intelligent Systems,Publisher: Nintendo,['Game Boy Advance'],['Auto Racing'],Rated E                           for Everyone,1
